ROCO_CLEF_07350	C0203126;C0203051
ROCO_CLEF_19073	C0772294;C0023884;C0221198;C0412555;C0041618
ROCO_CLEF_60501	C0233492;C2985494;C0262950;C1306232
ROCO_CLEF_05564	C0521530;C0817096
ROCO_CLEF_55020	C0935598;C1184743
ROCO_CLEF_07105	C1527075;C0233407;C3539923;C0040184;C0029266;C0558347;C0015811;C1718271;C0751438;C0543467
ROCO_CLEF_49365	C1320102;C0002978;C0040395;C0034896;C0034579;C1962958;C1548816;C4255126;C3891555;C0015376;C0009924;C0040405;C0449900
ROCO_CLEF_33645	C1263136;C1709311;C0035561;C0043299;C4319531;C0817096;C0005682;C0185792;C0038293;C1444783;C0224338;C1962945;C1139930
ROCO_CLEF_17649	C0687028;C0939261;C0751438;C0005388;C1550227;C0184906;C0008307
ROCO_CLEF_07099	C1704258;C0412555;C0041618;C0441633;C0039597
ROCO_CLEF_55757	C0751437;C0027530;C1552826;C0549207;C1553386;C0016590;C1148554;C0542492;C0036871;C1550227;C1553526;C0751438;C0007776;C0022655
ROCO_CLEF_40153	C0016504;C1962945;C1548003;C0025584;C0043299;C0025590;C1861378
ROCO_CLEF_25987	C0439775;C0262950;C0024947;C0004454;C0202165
ROCO_CLEF_65474	C0184666;C0184661;C3539779;C0152060;C3538935;C0817096;C1442948;C0030747;C1555709
ROCO_CLEF_41465	C0005847;C0030797;C0037993;C0456605;C0003842
ROCO_CLEF_01813	C0030797;C0205400;C0005682
ROCO_CLEF_63768	C0040395;C0729233;C0039991;C0034579;C1561540;C0817096;C0040405;C0543467
ROCO_CLEF_02391	C0332516;C0772294;C0026367;C0221198;C1318154
ROCO_CLEF_46048	C0009429;C1962944;C0376495;C3887704;C0087111
ROCO_CLEF_29513	C1857417;C3539018;C0087111;C0040405;C0040395;C1962966;C0593762;C0233643;C0035331;C0034579;C0033972;C1328685;C0015392;C0796561;C0035298
ROCO_CLEF_35105	C0525187;C0309093;C2328730;C0921176
ROCO_CLEF_22117	C0817096;C0334460
ROCO_CLEF_50610	C0031809;C0000925;C0087086;C0751438;C0000723;C0582103;C0009924;C0549649;C0003842;C0449900
ROCO_CLEF_10827	C1962945;C1548003;C1548801;C0026367;C0024687;C1561540;C0043299;C1550227;C0185115
ROCO_CLEF_13900	C0700287;C0921176;C2985765;C0772294;C0222720;C0935456;C0921177;C0525187;C0039487;C0684224;C0796494;C0231881;C0221198;C1184145
ROCO_CLEF_15047	C0043299;C1548003;C1962945
ROCO_CLEF_32534	C1561528;C1548003;C1578513;C0043240;C1962945;C1561542;C0043299;C0587668;C0262950;C0543467;C0018670
ROCO_CLEF_22158	C0013931;C0015376
ROCO_CLEF_65161	C0751437;C1552826;C0002978;C0228174;C0006104;C0184906;C0003842
ROCO_CLEF_40777	C0040395;C1550512;C0003483;C0040399;C0034579;C0935623;C0000726;C0040405;C0022646;C0003842
ROCO_CLEF_35815	C1293134;C0040395;C0024202;C0034579;C0224155;C0205400;C0038351;C0040405;C0746922
ROCO_CLEF_36582	C0027530;C0549207;C1553386;C1962944
ROCO_CLEF_52147	C0034579
ROCO_CLEF_08208	C0430991;C0344329;C0817096;C0024109
ROCO_CLEF_16873	C0000925;C0040395;C1261381;C1553386;C0034579;C0935456;C0039487;C0441633;C0040405;C0262950
ROCO_CLEF_57208	C0021485;C1533685
ROCO_CLEF_59985	C1548827;C0006282;C1548003;C0013604;C0596790;C0043299;C0024109;C1962945
ROCO_CLEF_68255	C0013687;C0013516;C1546613;C0183129;C0442031;C0003842
ROCO_CLEF_56971	C0935616;C0004704
ROCO_CLEF_43592	C1550300
ROCO_CLEF_36471	C1962945;C0036429;C0772294;C0043299;C0221198
ROCO_CLEF_45964	C1458156;C0040395;C0034579;C0000726;C0040405
ROCO_CLEF_54114	C0040395;C0034579;C0040405
ROCO_CLEF_49010	C0796494;C0228505;C0221874;C0817096;C0596790
ROCO_CLEF_36857	C1548003;C1962945;C0043299;C0040456;C0333124
ROCO_CLEF_42533	C0240795;C0556030;C0041158;C0376495;C0231519;C2347268
ROCO_CLEF_28962	C0027530;C0175730;C0013604;C1561538;C0009924;C0441633;C0020629;C0449900
ROCO_CLEF_41132	C0015811;C0003842
ROCO_CLEF_28449	C0700287;C0262512;C1549114;C0442743;C1561543;C0262926;C0006497;C0229671;C1553386
ROCO_CLEF_19524	C0015385;C0446516;C1140618;C0262950
ROCO_CLEF_12616	C0750122;C0002978;C0723338;C0003842
ROCO_CLEF_65806	C0175727;C0027530;C1442948;C1185738;C0037949
ROCO_CLEF_69903	C0228491;C0334044;C0935598;C1552858;C0222720;C1184145;C0015252;C0228466;C0007876;C0921177;C0006121;C0006104;C0007765;C0231881;C0728940;C0184905
ROCO_CLEF_18373	C0741847;C0013516;C0598782;C0553534;C0589507;C0183129;C0087086;C0018792;C0009924;C0524422;C0449900
ROCO_CLEF_39995	C0227665;C0607422;C0022646
ROCO_CLEF_39296	C1963113
ROCO_CLEF_15441	C4255126;C0002978;C1548816;C0751438;C1550517;C3891555;C0003842
ROCO_CLEF_07380	C0042449;C0240795;C0556030;C0231519;C0031545;C0038435;C1548938;C2347268
ROCO_CLEF_60182	C1553386;C0033363;C0016538;C0332768;C0037004;C1179712;C0018670
ROCO_CLEF_07803	C0040395;C0003483;C0034579;C0607422;C0009924;C0040405;C0449900
ROCO_CLEF_27419	C0034579
ROCO_CLEF_37660	C0030274;C0087111;C0033972;C0398266;C0398296
ROCO_CLEF_36164	C1524004;C0227665;C0040732;C1550604;C2827990;C3242263;C0183115;C3841811;C0175631;C0022646
ROCO_CLEF_44069	C1293284;C0841296;C0013990;C1963063;C0003620;C0040405;C0845672;C0040395;C0441513;C0025066;C0565460;C0198062;C0027530;C0024947;C0034579;C0004454;C0524865;C1293304
ROCO_CLEF_23632	C0441633;C0000726
ROCO_CLEF_04125	C1265876;C0817096;C0029053;C0024109
ROCO_CLEF_23355	C0006141;C0006826;C0030797;C0042133
ROCO_CLEF_66897	C0039985;C1553386;C0817096
ROCO_CLEF_70584	C0460005;C1184808
ROCO_CLEF_14721	C0002978;C0003842
ROCO_CLEF_18366	C0015027;C0028429;C1318154;C0921176;C1261381;C0525187;C0007952;C0037884;C1552826;C0441633;C0262950;C0577559
ROCO_CLEF_15639	C0005847;C0030274
ROCO_CLEF_16313	C2985765;C0772294;C0006104;C2355627;C0018827;C0221198
ROCO_CLEF_38996	C0028778;C0006255;C0025066;C0817096;C0024109;C0441633;C0344329
ROCO_CLEF_26130	C0525187;C4255126;C0002978;C0033363;C1548816;C0005847;C0016538;C3891555;C0024109;C0921176;C0003842
ROCO_CLEF_14092	C0441633;C0237058
ROCO_CLEF_08616	C1552858;C4283785;C0728940;C0015252
ROCO_CLEF_46507	C0751437;C0035139;C0222679;C0441587;C0935598;C0162370;C0448475
ROCO_CLEF_50189	C0000925;C3245511;C0038257;C0003842
ROCO_CLEF_33547	C0042149;C0042133;C0009924;C0449900
ROCO_CLEF_59970	C0348000;C0021853;C0607422
ROCO_CLEF_70696	C0013687;C1322279;C1553386;C0700124;C0595939;C1549438;C0442031;C4084721;C0817096;C1546613;C0012359
ROCO_CLEF_07306	C0042397;C1555302;C1533810;C3244072;C0189477;C1704454;C0013604;C0035139;C0024109;C0441587;C0860359;C0021925
ROCO_CLEF_20735	C0809794;C1322279;C0700124;C0021853;C0687713;C0927195;C0184122;C0596601;C0020885;C0012359
ROCO_CLEF_70370	C1275491;C1963113;C1962958;C0224338;C0596463
ROCO_CLEF_40268	C0042149;C0014180;C0205400;C0476089;C1550633
ROCO_CLEF_53415	C3244306;C0035110;C1561543;C0543467;C0949626
ROCO_CLEF_56949	C0040184;C1522577;C0038925;C0006655
ROCO_CLEF_25325	C0221874;C3244072;C0607422;C0041618
ROCO_CLEF_16857	C0005847;C1553386;C0003842
ROCO_CLEF_15509	C0038532;C0229890;C0038530;C0694658;C0493188;C0397553;C1550262;C0489886;C0224348;C0155746;C0151825;C0228848;C0720651;C0751531;C0694675;C0229002
ROCO_CLEF_64593	C0013516;C0183129;C0024109;C0554756
ROCO_CLEF_39514	C1552858;C1829459;C0015252;C0007876;C0728940;C0606665;C0184905
ROCO_CLEF_09751	C0027530;C0042449;C0015376;C0741968;C0002978;C0015252;C1548816;C3244072;C1546572;C0009924;C0728940;C3891555;C4255126;C0449900
ROCO_CLEF_60500	C0729233;C0549207;C0035561;C0817096;C0185026;C1552858;C0184905
ROCO_CLEF_55392	C0817096
ROCO_CLEF_56933	C0043299;C1962945;C1548003;C0025066;C0817096;C0577559
ROCO_CLEF_10682	C0002978;C1561538
ROCO_CLEF_02902	C0772294;C0002978;C0087086;C1857644;C0221198;C0003842
ROCO_CLEF_58994	C0011209;C0005615;C0002978;C0308779
ROCO_CLEF_63798	C0028778;C0040395;C0854571;C0034579;C0005847;C0040405
ROCO_CLEF_01440	C3244306;C0035110;C0949626;C0543467;C0037303
ROCO_CLEF_43017	C0751437;C0040395;C0003483;C0034579;C0035561;C0025066;C0024109;C0230467;C0224338;C0040405;C0003842
ROCO_CLEF_00542	C0027530;C0076638;C1522485;C0117002;C0796494;C0040132
ROCO_CLEF_01402	C1285092;C0772294;C0030580;C0221198;C0086972
ROCO_CLEF_10007	C0227391
ROCO_CLEF_70103	C0228484;C1963113;C0935598
ROCO_CLEF_20336	C0011900;C0430533
ROCO_CLEF_14191	C0230467
ROCO_CLEF_24298	C0577559;C0412555;C0041618
ROCO_CLEF_65344	C0179081;C0011164;C0035139;C0349676;C0441587;C0003086;C1555302
ROCO_CLEF_68556	C1260969;C0230373;C1553386;C3203359;C0817662;C0016129;C0723338;C0237497;C0185042;C0185023
ROCO_CLEF_24063	C1553386;C0221874
ROCO_CLEF_63521	C2951888;C0037303
ROCO_CLEF_49000	C0043299;C0678723;C0031809;C0223792;C0179081;C0022742;C0015385;C1962945;C0030797;C0016068;C0015811;C0003086;C3151684;C0243069;C0243107;C0262950;C0582103
ROCO_CLEF_60483	C0268804;C0221874
ROCO_CLEF_58172	C0175730;C0087153;C0039991;C0039990;C1548003;C1546767;C0042497;C0043299;C0817096;C3242263;C0024109;C1962945;C1524004
ROCO_CLEF_62422	C1555302;C1533810;C0040395;C0035139;C0441587;C0441633;C0301559
ROCO_CLEF_33856	C0025663;C0202165
ROCO_CLEF_48104	C1861360;C0221874;C0025526
ROCO_CLEF_32244	C0441610;C2825032;C4049634;C0441633
ROCO_CLEF_19198	C0043299;C1962945;C1548003;C1522577;C0035139;C0441587;C1555302
ROCO_CLEF_18439	C0003483;C1546602;C0012817;C0751438;C0023078;C0003842
ROCO_CLEF_13500	C0030650;C0935598;C1561543;C0079595;C0231881
ROCO_CLEF_51700	C0729233;C0432262;C0262950;C0817096;C3554672
ROCO_CLEF_69919	C1293284;C0841296;C1571705;C0933845;C1293304;C0845672;C0441513;C0565460;C0198062;C0024109;C0006271;C0441633;C0524865
